ac;ac_sn;;;;;;;;;;;;;;;;;;;;;;
9K-CBC;9149;;;;;;;;;;;;;;;;;;;;;;
9K-CBD;9174;;;;;;;;;;;;;;;;;;;;;;
9K-CBE;9528;;;;;;;;;;;;;;;;;;;;;;
9K-CBF;10201;;;;;;;;;;;;;;;;;;;;;;
9K-CBG;10366;;;;;;;;;;;;;;;;;;;;;;
9K-CBH;10488;;;;;;;;;;;;;;;;;;;;;;
9K-CBI;10516;;;;;;;;;;;;;;;;;;;;;;
9M-MUC;1164;;;;;;;;;;;;;;;;;;;;;;
9V-SVB;28525;;;;;;;;;;;;;;;;;;;;;;
A300-6GE;DUMMY;;;;;;;;;;;;;;;;;;;;;;
A300-6PW;DUMMY;;;;;;;;;;;;;;;;;;;;;;
A300-CF6;DUMMY;;;;;;;;;;;;;;;;;;;;;;
A310-CF6;DUMMY;;;;;;;;;;;;;;;;;;;;;;
A318-CFM;DUMMY;;;;;;;;;;;;;;;;;;;;;;
A319-CFM;DUMMY;;;;;;;;;;;;;;;;;;;;;;
A319-V25;DUMMY;;;;;;;;;;;;;;;;;;;;;;
A320-CFM;DUMMY;;;;;;;;;;;;;;;;;;;;;;
A320-NEO;DUMMY;;;;;;;;;;;;;;;;;;;;;;
A320-PW;DUMMY;;;;;;;;;;;;;;;;;;;;;;
A320-V25;DUMMY;;;;;;;;;;;;;;;;;;;;;;
A321-CFM;DUMMY;;;;;;;;;;;;;;;;;;;;;;
A321NEO-PW;DUMMY;;;;;;;;;;;;;;;;;;;;;;
A321-V25;DUMMY;;;;;;;;;;;;;;;;;;;;;;
A330-CF6;DUMMY;;;;;;;;;;;;;;;;;;;;;;
A330-PW;DUMMY;;;;;;;;;;;;;;;;;;;;;;
A330-TRENT;DUMMY;;;;;;;;;;;;;;;;;;;;;;
A340-CFM;DUMMY;;;;;;;;;;;;;;;;;;;;;;
A350-XWB;DUMMY;;;;;;;;;;;;;;;;;;;;;;
A4O-BAA;60391;;;;;;;;;;;;;;;;;;;;;;
