ac;ac_sn;;;;;;;;;;;;;;;;;;;;;;
EI-DLJ;34177;;;;;;;;;;;;;;;;;;;;;;
EI-DLY;33601;;;;;;;;;;;;;;;;;;;;;;
EI-EFK;37537;;;;;;;;;;;;;;;;;;;;;;
EI-ENI;40300;;;;;;;;;;;;;;;;;;;;;;
EI-ENJ;40301;;;;;;;;;;;;;;;;;;;;;;
EI-ENM;35038 ;;;;;;;;;;;;;;;;;;;;;;
EI-ENP;40304;;;;;;;;;;;;;;;;;;;;;;
EI-ENY;35042;;;;;;;;;;;;;;;;;;;;;;
EI-EPB;34986;;;;;;;;;;;;;;;;;;;;;;
EI-EVY;40319;;;;;;;;;;;;;;;;;;;;;;
EI-EVZ;40316;;;;;;;;;;;;;;;;;;;;;;
EI-FLC;632;;;;;;;;;;;;;;;;;;;;;;
EI-FSE;293;;;;;;;;;;;;;;;;;;;;;;
EI-GCZ;0739;;;;;;;;;;;;;;;;;;;;;;
EI-GGF;34409;;;;;;;;;;;;;;;;;;;;;;
EI-GHY;02934;;;;;;;;;;;;;;;;;;;;;;
EI-KBA;5401;;;;;;;;;;;;;;;;;;;;;;
EI-KBB;5613;;;;;;;;;;;;;;;;;;;;;;
EI-KBC;5734;;;;;;;;;;;;;;;;;;;;;;
EI-KBD;5870;;;;;;;;;;;;;;;;;;;;;;
EI-KBE;5968;;;;;;;;;;;;;;;;;;;;;;
EI-KBF;06037;;;;;;;;;;;;;;;;;;;;;;
EI-KBG;06029;;;;;;;;;;;;;;;;;;;;;;
EI-KBH;7124;;;;;;;;;;;;;;;;;;;;;;
EI-KBI;8483;;;;;;;;;;;;;;;;;;;;;;
EI-KBJ;8860;;;;;;;;;;;;;;;;;;;;;;
EI-KBK;9459;;;;;;;;;;;;;;;;;;;;;;
EI-KBL;9574;;;;;;;;;;;;;;;;;;;;;;
EI-KBN;6343;;;;;;;;;;;;;;;;;;;;;;
EI-KBO;06311;;;;;;;;;;;;;;;;;;;;;;
EI-KBP;11120;;;;;;;;;;;;;;;;;;;;;;
EI-KDA;5357;;;;;;;;;;;;;;;;;;;;;;
EI-KDB;5404;;;;;;;;;;;;;;;;;;;;;;
EI-KDC;7567;;;;;;;;;;;;;;;;;;;;;;
EI-KDD;7634;;;;;;;;;;;;;;;;;;;;;;
EI-KDE;8090;;;;;;;;;;;;;;;;;;;;;;
EI-KDF;8277;;;;;;;;;;;;;;;;;;;;;;
EI-KEC;42223;;;;;;;;;;;;;;;;;;;;;;
EI-KGA;8837;;;;;;;;;;;;;;;;;;;;;;
EI-KGB;08980;;;;;;;;;;;;;;;;;;;;;;
EI-KGC;9080;;;;;;;;;;;;;;;;;;;;;;
EI-KGD;9432;;;;;;;;;;;;;;;;;;;;;;
EI-KGE;10176;;;;;;;;;;;;;;;;;;;;;;
EI-KGF;10427;;;;;;;;;;;;;;;;;;;;;;
EI-KGG;10421;;;;;;;;;;;;;;;;;;;;;;
EI-KGH;10534;;;;;;;;;;;;;;;;;;;;;;
EI-KGJ;10916;;;;;;;;;;;;;;;;;;;;;;
EI-OZM;722;;;;;;;;;;;;;;;;;;;;;;
EI-VAS;03141;;;;;;;;;;;;;;;;;;;;;;
EK-YRA;6782;;;;;;;;;;;;;;;;;;;;;;
EK-YRB;3246;;;;;;;;;;;;;;;;;;;;;;
ER-AXP;00741;;;;;;;;;;;;;;;;;;;;;;
ES-SAY;2689;;;;;;;;;;;;;;;;;;;;;;
ET3;0;;;;;;;;;;;;;;;;;;;;;;
EX-37402;29107;;;;;;;;;;;;;;;;;;;;;;
EX-37801;35701;;;;;;;;;;;;;;;;;;;;;;
EX-37802;35699;;;;;;;;;;;;;;;;;;;;;;
EY-545;24326;;;;;;;;;;;;;;;;;;;;;;
EY-777;34960;;;;;;;;;;;;;;;;;;;;;;
EY-787;34955;;;;;;;;;;;;;;;;;;;;;;
EZ-A004;36088;;;;;;;;;;;;;;;;;;;;;;
EZ-A005;36089;;;;;;;;;;;;;;;;;;;;;;
EZ-A017;43863;;;;;;;;;;;;;;;;;;;;;;
EZ-A018;61573;;;;;;;;;;;;;;;;;;;;;;
EZ-A778;42296;;;;;;;;;;;;;;;;;;;;;;
EZ-A779;42297;;;;;;;;;;;;;;;;;;;;;;
F-GOTO;1021;;;;;;;;;;;;;;;;;;;;;;
F-GRSQ;501;;;;;;;;;;;;;;;;;;;;;;
F-HTVO;34898;;;;;;;;;;;;;;;;;;;;;;
F-HTVQ;39068;;;;;;;;;;;;;;;;;;;;;;
F-HXLF;1360;;;;;;;;;;;;;;;;;;;;;;
F-HXXL;597;;;;;;;;;;;;;;;;;;;;;;
F-OFDF;253;;;;;;;;;;;;;;;;;;;;;;
F-WTAG;0635;;;;;;;;;;;;;;;;;;;;;;
G450-TAY;DUMMY;;;;;;;;;;;;;;;;;;;;;;
G-EUUN;1910;;;;;;;;;;;;;;;;;;;;;;
G-EUYF;4185;;;;;;;;;;;;;;;;;;;;;;
GIV-TAY;DUMMY;;;;;;;;;;;;;;;;;;;;;;
GSS-HIK;0;;;;;;;;;;;;;;;;;;;;;;
GV-BR710;DUMMY;;;;;;;;;;;;;;;;;;;;;;
GVII(500);DUMMY;;;;;;;;;;;;;;;;;;;;;;
HL7792;1001;;;;;;;;;;;;;;;;;;;;;;
HS-LAH;1820;;;;;;;;;;;;;;;;;;;;;;
HS-LAI;1828;;;;;;;;;;;;;;;;;;;;;;
HS-LAJ;1832;;;;;;;;;;;;;;;;;;;;;;
HZ-AK14;41051;;;;;;;;;;;;;;;;;;;;;;
HZ-AK30;42268;;;;;;;;;;;;;;;;;;;;;;
HZ-AK31;61595;;;;;;;;;;;;;;;;;;;;;;
HZ-AK32;61591;;;;;;;;;;;;;;;;;;;;;;
HZ-AK34;61596;;;;;;;;;;;;;;;;;;;;;;
HZ-AKQ;28360;;;;;;;;;;;;;;;;;;;;;;
HZ-AKR;28361;;;;;;;;;;;;;;;;;;;;;;
HZ-AKT;28363;;;;;;;;;;;;;;;;;;;;;;
HZ-AKU;28364;;;;;;;;;;;;;;;;;;;;;;
HZ-AKW;28366;;;;;;;;;;;;;;;;;;;;;;
HZ-AQ11;1724;;;;;;;;;;;;;;;;;;;;;;
HZ-AQ13;1729;;;;;;;;;;;;;;;;;;;;;;
HZ-AQ14;1731;;;;;;;;;;;;;;;;;;;;;;
HZ-AQ20;1764;;;;;;;;;;;;;;;;;;;;;;
HZ-AQ21;1766;;;;;;;;;;;;;;;;;;;;;;
HZ-AQ22;1770;;;;;;;;;;;;;;;;;;;;;;
HZ-AQ23;1774;;;;;;;;;;;;;;;;;;;;;;
HZ-AQ29;1812;;;;;;;;;;;;;;;;;;;;;;
HZ-AQ30;1834;;;;;;;;;;;;;;;;;;;;;;
HZ-AQC;1137;;;;;;;;;;;;;;;;;;;;;;
HZ-AQE;1147;;;;;;;;;;;;;;;;;;;;;;
HZ-AQF;1153;;;;;;;;;;;;;;;;;;;;;;
HZ-AQH;1189;;;;;;;;;;;;;;;;;;;;;;
HZ-AS13;4104;;;;;;;;;;;;;;;;;;;;;;
HZ-AS14;4115;;;;;;;;;;;;;;;;;;;;;;
HZ-AS15;4122;;;;;;;;;;;;;;;;;;;;;;
HZ-AS17;4349;;;;;;;;;;;;;;;;;;;;;;
HZ-AS18;4357;;;;;;;;;;;;;;;;;;;;;;
HZ-AS19;4376;;;;;;;;;;;;;;;;;;;;;;
HZ-AS20;4392;;;;;;;;;;;;;;;;;;;;;;
HZ-AS21;4414;;;;;;;;;;;;;;;;;;;;;;
HZ-AS22;4484;;;;;;;;;;;;;;;;;;;;;;
HZ-AS23;4519;;;;;;;;;;;;;;;;;;;;;;
HZ-AS32;4273;;;;;;;;;;;;;;;;;;;;;;
HZ-AS52;7432;;;;;;;;;;;;;;;;;;;;;;
HZ-AS53;7444;;;;;;;;;;;;;;;;;;;;;;
HZ-AS55;7550;;;;;;;;;;;;;;;;;;;;;;
HZ-AS56;7608;;;;;;;;;;;;;;;;;;;;;;
HZ-ASJ;4577;;;;;;;;;;;;;;;;;;;;;;
HZ-ASK;4590;;;;;;;;;;;;;;;;;;;;;;
HZ-FAA;7829;;;;;;;;;;;;;;;;;;;;;;
HZ-FAB;7867;;;;;;;;;;;;;;;;;;;;;;
HZ-FAE;8013;;;;;;;;;;;;;;;;;;;;;;
HZ-NS22;8443;;;;;;;;;;;;;;;;;;;;;;
HZ-NS23;8756;;;;;;;;;;;;;;;;;;;;;;
HZ-NS24;9040;;;;;;;;;;;;;;;;;;;;;;
HZ-NS25;9163;;;;;;;;;;;;;;;;;;;;;;
HZ-NS26;9225;;;;;;;;;;;;;;;;;;;;;;
HZ-NS27;9531;;;;;;;;;;;;;;;;;;;;;;
HZ-NS28;9428;;;;;;;;;;;;;;;;;;;;;;
HZ-NS29;9522;;;;;;;;;;;;;;;;;;;;;;
HZ-NS32;10179;;;;;;;;;;;;;;;;;;;;;;
HZ-NS33;10097;;;;;;;;;;;;;;;;;;;;;;
HZ-NS34;10350;;;;;;;;;;;;;;;;;;;;;;
HZ-NS35;10431;;;;;;;;;;;;;;;;;;;;;;
HZ-NS36;10436;;;;;;;;;;;;;;;;;;;;;;
HZ-NS37;10478;;;;;;;;;;;;;;;;;;;;;;
HZ-NS38;10243;;;;;;;;;;;;;;;;;;;;;;
HZ-NS39;10539;;;;;;;;;;;;;;;;;;;;;;
HZ-NS42;10550;;;;;;;;;;;;;;;;;;;;;;
HZ-NS43;10514;;;;;;;;;;;;;;;;;;;;;;
HZ-NS44;10290;;;;;;;;;;;;;;;;;;;;;;
HZ-NS45;10442;;;;;;;;;;;;;;;;;;;;;;
HZ-NS46;10760;;;;;;;;;;;;;;;;;;;;;;
HZ-NS47;10777;;;;;;;;;;;;;;;;;;;;;;
HZ-NS48;10807;;;;;;;;;;;;;;;;;;;;;;
HZ-NS49;10851;;;;;;;;;;;;;;;;;;;;;;
HZ-NS52;10911;;;;;;;;;;;;;;;;;;;;;;
IBM;338;;;;;;;;;;;;;;;;;;;;;;
JU-1400;1400;;;;;;;;;;;;;;;;;;;;;;
JY-AYM;3685;;;;;;;;;;;;;;;;;;;;;;
JY-AYN;3832;;;;;;;;;;;;;;;;;;;;;;
JY-AYP;3832;;;;;;;;;;;;;;;;;;;;;;
JY-AYQ;4670;;;;;;;;;;;;;;;;;;;;;;
JY-AYR;4817;;;;;;;;;;;;;;;;;;;;;;
JY-AYS;4853;;;;;;;;;;;;;;;;;;;;;;
JY-AYT;5099;;;;;;;;;;;;;;;;;;;;;;
JY-AYU;5128;;;;;;;;;;;;;;;;;;;;;;
JY-AYV;5177;;;;;;;;;;;;;;;;;;;;;;
JY-AYW;5367;;;;;;;;;;;;;;;;;;;;;;
JY-AYX;2953;;;;;;;;;;;;;;;;;;;;;;
JY-JVA;409;;;;;;;;;;;;;;;;;;;;;;
JY-JVB;0834;;;;;;;;;;;;;;;;;;;;;;
LZ-AWI;3896;;;;;;;;;;;;;;;;;;;;;;
LZ-AWK;3949;;;;;;;;;;;;;;;;;;;;;;
LZ-AWY;0939;;;;;;;;;;;;;;;;;;;;;;
LZ-AWZ;0874;;;;;;;;;;;;;;;;;;;;;;
LZ-DAB;2916;;;;;;;;;;;;;;;;;;;;;;
LZ-DAC;2919;;;;;;;;;;;;;;;;;;;;;;
LZ-DBP;39428;;;;;;;;;;;;;;;;;;;;;;
LZ-DBR;39430;;;;;;;;;;;;;;;;;;;;;;
LZ-HEA;811;;;;;;;;;;;;;;;;;;;;;;
M-ABLV;1361;;;;;;;;;;;;;;;;;;;;;;
M-ABLW;1370;;;;;;;;;;;;;;;;;;;;;;
M-ABNM;4349;;;;;;;;;;;;;;;;;;;;;;
M-ABNP;4135;;;;;;;;;;;;;;;;;;;;;;
M-ABNR;4357;;;;;;;;;;;;;;;;;;;;;;
M-ABNU;4414;;;;;;;;;;;;;;;;;;;;;;
M-ABOP;4519;;;;;;;;;;;;;;;;;;;;;;
MSN 39428;39428;;;;;;;;;;;;;;;;;;;;;;
MSN 39430;39430;;;;;;;;;;;;;;;;;;;;;;
MSN 40263;40263;;;;;;;;;;;;;;;;;;;;;;
MSN 40265;40265;;;;;;;;;;;;;;;;;;;;;;
MSN 40316;40316;;;;;;;;;;;;;;;;;;;;;;
MSN 4376;4376;;;;;;;;;;;;;;;;;;;;;;
MSN 5036;5036;;;;;;;;;;;;;;;;;;;;;;
MSN03974;3974;;;;;;;;;;;;;;;;;;;;;;
MSN1361;1361;;;;;;;;;;;;;;;;;;;;;;
MSN1400;1400;;;;;;;;;;;;;;;;;;;;;;
MSN2739;2739;;;;;;;;;;;;;;;;;;;;;;
MSN349;0349;;;;;;;;;;;;;;;;;;;;;;
MSN5076;5076;;;;;;;;;;;;;;;;;;;;;;
MSN879;879;;;;;;;;;;;;;;;;;;;;;;
MSO;29246;;;;;;;;;;;;;;;;;;;;;;
MZZ;29247;;;;;;;;;;;;;;;;;;;;;;
N280AV;1400;;;;;;;;;;;;;;;;;;;;;;
N32109;668;;;;;;;;;;;;;;;;;;;;;;
N349UK;0349;;;;;;;;;;;;;;;;;;;;;;
N396DC;34952;;;;;;;;;;;;;;;;;;;;;;
N423DC;34961;;;;;;;;;;;;;;;;;;;;;;
N462DC;34956;;;;;;;;;;;;;;;;;;;;;;
N486RW;5484;;;;;;;;;;;;;;;;;;;;;;
N650GU;6067;;;;;;;;;;;;;;;;;;;;;;
N725AV;6219;;;;;;;;;;;;;;;;;;;;;;
N756ZG;756;;;;;;;;;;;;;;;;;;;;;;
N786PB;3974;;;;;;;;;;;;;;;;;;;;;;
N825SY;34410;;;;;;;;;;;;;;;;;;;;;;
N826SY;34411;;;;;;;;;;;;;;;;;;;;;;
N827SY;34412;;;;;;;;;;;;;;;;;;;;;;
N828SY;34413;;;;;;;;;;;;;;;;;;;;;;
N829SY;34414;;;;;;;;;;;;;;;;;;;;;;
N850SY;40265;;;;;;;;;;;;;;;;;;;;;;
OCB;098;;;;;;;;;;;;;;;;;;;;;;
OE-IDU;1098;;;;;;;;;;;;;;;;;;;;;;
OE-IET;2689;;;;;;;;;;;;;;;;;;;;;;
OE-IFJ;03943;;;;;;;;;;;;;;;;;;;;;;
OE-IFM;3259;;;;;;;;;;;;;;;;;;;;;;
OE-IIU;1607;;;;;;;;;;;;;;;;;;;;;;
OE-IIV;01624;;;;;;;;;;;;;;;;;;;;;;
OE-IKJ;2156;;;;;;;;;;;;;;;;;;;;;;
OE-ILJ;60176;;;;;;;;;;;;;;;;;;;;;;
OE-IPN;5310;;;;;;;;;;;;;;;;;;;;;;
OE-IPR;5473;;;;;;;;;;;;;;;;;;;;;;
OE-ISN;5379;;;;;;;;;;;;;;;;;;;;;;
OE-ISU;05923;;;;;;;;;;;;;;;;;;;;;;
OE-ITG;5076;;;;;;;;;;;;;;;;;;;;;;
OE-ITJ;5036;;;;;;;;;;;;;;;;;;;;;;
OE-ITK;3541;;;;;;;;;;;;;;;;;;;;;;
OE-ITM;4813;;;;;;;;;;;;;;;;;;;;;;
OE-IUX;5641;;;;;;;;;;;;;;;;;;;;;;
OE-IWK;4965;;;;;;;;;;;;;;;;;;;;;;
OE-LCH;4818;;;;;;;;;;;;;;;;;;;;;;
OE-LDJ;1098;;;;;;;;;;;;;;;;;;;;;;
OE-LES;2108;;;;;;;;;;;;;;;;;;;;;;
OE-LIP;3632;;;;;;;;;;;;;;;;;;;;;;
OE-LOB;2928;;;;;;;;;;;;;;;;;;;;;;
OE-LOM;2984;;;;;;;;;;;;;;;;;;;;;;
OE-LOT;2522;;;;;;;;;;;;;;;;;;;;;;
OGU;2631;;;;;;;;;;;;;;;;;;;;;;
OGV;2655;;;;;;;;;;;;;;;;;;;;;;
OK-YBA;425;;;;;;;;;;;;;;;;;;;;;;
OM-FEX;28213;;;;;;;;;;;;;;;;;;;;;;
OM-GTH;29644;;;;;;;;;;;;;;;;;;;;;;
OO-JAH;37260;;;;;;;;;;;;;;;;;;;;;;
OO-SNE;4243;;;;;;;;;;;;;;;;;;;;;;
ORM177;229;;;;;;;;;;;;;;;;;;;;;;
OY-JZK;30296;;;;;;;;;;;;;;;;;;;;;;
P4-KBA;5401;;;;;;;;;;;;;;;;;;;;;;
P4-KBB;5613;;;;;;;;;;;;;;;;;;;;;;
P4-KBC;5734;;;;;;;;;;;;;;;;;;;;;;
P4-KBD;5870;;;;;;;;;;;;;;;;;;;;;;
P4-KBE;5968;;;;;;;;;;;;;;;;;;;;;;
P4-KBF;6037;;;;;;;;;;;;;;;;;;;;;;
P4-KBG;6029;;;;;;;;;;;;;;;;;;;;;;
P4-KBI;8483;;;;;;;;;;;;;;;;;;;;;;
P4-KBJ;8860;;;;;;;;;;;;;;;;;;;;;;
P4-KBN;6343;;;;;;;;;;;;;;;;;;;;;;
P4-KDA;5357;;;;;;;;;;;;;;;;;;;;;;
P4-KDB;5404;;;;;;;;;;;;;;;;;;;;;;
P4-KDD;7634;;;;;;;;;;;;;;;;;;;;;;
P4-KDF;8277;;;;;;;;;;;;;;;;;;;;;;
P4-KGA;8837;;;;;;;;;;;;;;;;;;;;;;
P4-KGB;8980;;;;;;;;;;;;;;;;;;;;;;
P4-NAS;1042;;;;;;;;;;;;;;;;;;;;;;
P4-OAS;1204;;;;;;;;;;;;;;;;;;;;;;
P4-SOM;40889;;;;;;;;;;;;;;;;;;;;;;
P4-TAJ;40888;;;;;;;;;;;;;;;;;;;;;;
P4-VAS;3141;;;;;;;;;;;;;;;;;;;;;;
PH-BCA;37820;;;;;;;;;;;;;;;;;;;;;;
PH-BXY;30372;;;;;;;;;;;;;;;;;;;;;;
PH-CDE;35795;;;;;;;;;;;;;;;;;;;;;;
PH-CDF;28227;;;;;;;;;;;;;;;;;;;;;;
PH-HSF;39261;;;;;;;;;;;;;;;;;;;;;;
PH-HSJ;42150;;;;;;;;;;;;;;;;;;;;;;
PH-HXA;62149;;;;;;;;;;;;;;;;;;;;;;
PH-HXB;41340;;;;;;;;;;;;;;;;;;;;;;
PH-HXD;61791;;;;;;;;;;;;;;;;;;;;;;
PH-HXE;61790;;;;;;;;;;;;;;;;;;;;;;
PH-HXK;62157;;;;;;;;;;;;;;;;;;;;;;
PH-HXL;62162;;;;;;;;;;;;;;;;;;;;;;
PH-HXM;62165;;;;;;;;;;;;;;;;;;;;;;
PH-HXN;63623;;;;;;;;;;;;;;;;;;;;;;
PH-HZJ;30389;;;;;;;;;;;;;;;;;;;;;;
PH-HZO;34169 ;;;;;;;;;;;;;;;;;;;;;;
PH-HZV;30650;;;;;;;;;;;;;;;;;;;;;;
PH-HZW;29345;;;;;;;;;;;;;;;;;;;;;;
PH-XRX;33464;;;;;;;;;;;;;;;;;;;;;;
PH-XRY;33463;;;;;;;;;;;;;;;;;;;;;;
PK-GLK;5351;;;;;;;;;;;;;;;;;;;;;;
PK-GLL;5379;;;;;;;;;;;;;;;;;;;;;;
PK-GLM;5394;;;;;;;;;;;;;;;;;;;;;;
PK-GLN;5399;;;;;;;;;;;;;;;;;;;;;;
PK-GLO;5415;;;;;;;;;;;;;;;;;;;;;;
PK-GLP;5511;;;;;;;;;;;;;;;;;;;;;;
PK-GLQ;5541;;;;;;;;;;;;;;;;;;;;;;
PK-GLR;5551;;;;;;;;;;;;;;;;;;;;;;
PK-GLS;5556;;;;;;;;;;;;;;;;;;;;;;
PK-GLT;5560;;;;;;;;;;;;;;;;;;;;;;
PK-GLU;5571;;;;;;;;;;;;;;;;;;;;;;
PK-GLV;5574;;;;;;;;;;;;;;;;;;;;;;
PK-GLW;5597;;;;;;;;;;;;;;;;;;;;;;
PK-GLX;5777;;;;;;;;;;;;;;;;;;;;;;
PK-GLY;5830;;;;;;;;;;;;;;;;;;;;;;
PK-GLZ;6118;;;;;;;;;;;;;;;;;;;;;;
PK-GQA;6207;;;;;;;;;;;;;;;;;;;;;;
PK-GQC;6224;;;;;;;;;;;;;;;;;;;;;;
PK-GQD;6243;;;;;;;;;;;;;;;;;;;;;;
PK-GQE;6270;;;;;;;;;;;;;;;;;;;;;;
PK-GQF;6322;;;;;;;;;;;;;;;;;;;;;;
PK-GQG;6333;;;;;;;;;;;;;;;;;;;;;;
PK-GQH;6408;;;;;;;;;;;;;;;;;;;;;;
PK-GQI;6434;;;;;;;;;;;;;;;;;;;;;;
PK-GQJ;6503;;;;;;;;;;;;;;;;;;;;;;
PK-GQK;6596;;;;;;;;;;;;;;;;;;;;;;
PK-GQL;6753;;;;;;;;;;;;;;;;;;;;;;
PK-GQM;6980;;;;;;;;;;;;;;;;;;;;;;
PK-GQN;7091;;;;;;;;;;;;;;;;;;;;;;
PK-GQO;7221;;;;;;;;;;;;;;;;;;;;;;
PK-GQP;7297;;;;;;;;;;;;;;;;;;;;;;
PK-GQQ;7319;;;;;;;;;;;;;;;;;;;;;;
PK-GQR;7453;;;;;;;;;;;;;;;;;;;;;;
PK-GQS;7450;;;;;;;;;;;;;;;;;;;;;;
PK-GQT;7469;;;;;;;;;;;;;;;;;;;;;;
PK-GQU;7620;;;;;;;;;;;;;;;;;;;;;;
PK-GTA;7466;;;;;;;;;;;;;;;;;;;;;;
PK-GTC;7505;;;;;;;;;;;;;;;;;;;;;;
PK-GTD;7587;;;;;;;;;;;;;;;;;;;;;;
PK-GTE;7603;;;;;;;;;;;;;;;;;;;;;;
PK-GTF;7834;;;;;;;;;;;;;;;;;;;;;;
PK-LFL;35714;;;;;;;;;;;;;;;;;;;;;;
PK-LFM;35715;;;;;;;;;;;;;;;;;;;;;;
PK-LFQ;35718;;;;;;;;;;;;;;;;;;;;;;
PK-LFR;35719;;;;;;;;;;;;;;;;;;;;;;
PK-TLA;9440;;;;;;;;;;;;;;;;;;;;;;
PK-TLB;2835;;;;;;;;;;;;;;;;;;;;;;
PK-TLC;2696;;;;;;;;;;;;;;;;;;;;;;
POOL;NA;;;;;;;;;;;;;;;;;;;;;;
PR-GGO;35828;;;;;;;;;;;;;;;;;;;;;;
S2-AJA;30039;;;;;;;;;;;;;;;;;;;;;;
S2-AJB;28251;;;;;;;;;;;;;;;;;;;;;;
S2-AJC;30711;;;;;;;;;;;;;;;;;;;;;;
S2-AJD;30728;;;;;;;;;;;;;;;;;;;;;;
S2-AJE;39428;;;;;;;;;;;;;;;;;;;;;;
S2-AJF;39430;;;;;;;;;;;;;;;;;;;;;;
S5-ABW;532;;;;;;;;;;;;;;;;;;;;;;
SA-ONB;3236;;;;;;;;;;;;;;;;;;;;;;
SP-ENN;32368;;;;;;;;;;;;;;;;;;;;;;
SU-AAB;3152;;;;;;;;;;;;;;;;;;;;;;
SU-AAD;4890;;;;;;;;;;;;;;;;;;;;;;
SU-AAE;4958;;;;;;;;;;;;;;;;;;;;;;
SU-AAF;6444;;;;;;;;;;;;;;;;;;;;;;
SU-ALC;392;;;;;;;;;;;;;;;;;;;;;;
SU-BQJ;2874;;;;;;;;;;;;;;;;;;;;;;
SU-BQK;3925;;;;;;;;;;;;;;;;;;;;;;
SU-BQL;2410;;;;;;;;;;;;;;;;;;;;;;
SU-BQM;4310;;;;;;;;;;;;;;;;;;;;;;
SU-BQN;02476;;;;;;;;;;;;;;;;;;;;;;
SUG;32365;;;;;;;;;;;;;;;;;;;;;;
SU-NMG;5171;;;;;;;;;;;;;;;;;;;;;;
SU-NML;5175;;;;;;;;;;;;;;;;;;;;;;
SX-DGX;1996;;;;;;;;;;;;;;;;;;;;;;
T7-CPX;1481;;;;;;;;;;;;;;;;;;;;;;
T7-MRB;5152;;;;;;;;;;;;;;;;;;;;;;
T7-ULS;0349;;;;;;;;;;;;;;;;;;;;;;
T7-WLA;35277;;;;;;;;;;;;;;;;;;;;;;
TC- AAI;35699;;;;;;;;;;;;;;;;;;;;;;
TC_JFN;29776;;;;;;;;;;;;;;;;;;;;;;
TC_JFO;29777;;;;;;;;;;;;;;;;;;;;;;
TC_JFP;29778;;;;;;;;;;;;;;;;;;;;;;
TC_JFR;29779;;;;;;;;;;;;;;;;;;;;;;
TC_JFY;29783;;;;;;;;;;;;;;;;;;;;;;
TC_JFZ;29784;;;;;;;;;;;;;;;;;;;;;;
TC_JZA;172S10964;;;;;;;;;;;;;;;;;;;;;;
TC_JZB;172S11007;;;;;;;;;;;;;;;;;;;;;;
TC_JZD;172S11012;;;;;;;;;;;;;;;;;;;;;;
TC_TAK;172S10854;;;;;;;;;;;;;;;;;;;;;;
TC_TAL;172S10869;;;;;;;;;;;;;;;;;;;;;;
TC_TAM;172S10882;;;;;;;;;;;;;;;;;;;;;;
TC_TAO;172S10900;;;;;;;;;;;;;;;;;;;;;;
TC_TAS;172S10107;;;;;;;;;;;;;;;;;;;;;;
TC_TAZ;172S10106;;;;;;;;;;;;;;;;;;;;;;
TC_TBB;40.N146;;;;;;;;;;;;;;;;;;;;;;
TC_TBC;40.N147;;;;;;;;;;;;;;;;;;;;;;
TC_TBD;40.N165;;;;;;;;;;;;;;;;;;;;;;
TC_TBE;40.N166;;;;;;;;;;;;;;;;;;;;;;
TC_TBF;40.N167;;;;;;;;;;;;;;;;;;;;;;
TC_TBG;40.N168;;;;;;;;;;;;;;;;;;;;;;
TC_TBH;172S11407;;;;;;;;;;;;;;;;;;;;;;
TC_TBI;172S11408;;;;;;;;;;;;;;;;;;;;;;
TC_TBJ;172S11409;;;;;;;;;;;;;;;;;;;;;;
TC_TDA;42.N062;;;;;;;;;;;;;;;;;;;;;;
TC_TDB;42.N063;;;;;;;;;;;;;;;;;;;;;;
TC_TDC;42.N064;;;;;;;;;;;;;;;;;;;;;;
TC_TDD;42.N065;;;;;;;;;;;;;;;;;;;;;;
TC_TDE;42.N066;;;;;;;;;;;;;;;;;;;;;;
TC_TDF;42.N067;;;;;;;;;;;;;;;;;;;;;;
TC-737MAX;DUMMY;;;;;;;;;;;;;;;;;;;;;;
TC-A321NEO;DUMMY;;;;;;;;;;;;;;;;;;;;;;
TC-AAI;35699;;;;;;;;;;;;;;;;;;;;;;
TC-AAJ;35702;;;;;;;;;;;;;;;;;;;;;;
TC-AAL;35984;;;;;;;;;;;;;;;;;;;;;;
TC-AAN;38173;;;;;;;;;;;;;;;;;;;;;;
TC-AAO;28619;;;;;;;;;;;;;;;;;;;;;;
TC-AAR;28624;;;;;;;;;;;;;;;;;;;;;;
TC-AAS;40871;;;;;;;;;;;;;;;;;;;;;;
TC-AAT;40872;;;;;;;;;;;;;;;;;;;;;;
TC-AAU;40873;;;;;;;;;;;;;;;;;;;;;;
TC-AAV;40696;;;;;;;;;;;;;;;;;;;;;;
TC-AAY;40874;;;;;;;;;;;;;;;;;;;;;;
TC-AAZ;40875;;;;;;;;;;;;;;;;;;;;;;
TC-ABL;1390;;;;;;;;;;;;;;;;;;;;;;
TC-ABP;40876;;;;;;;;;;;;;;;;;;;;;;
TC-ACG;25641;;;;;;;;;;;;;;;;;;;;;;
TC-ADP;40720;;;;;;;;;;;;;;;;;;;;;;
TC-AEP;40724;;;;;;;;;;;;;;;;;;;;;;
TC-AGD;819;;;;;;;;;;;;;;;;;;;;;;
TC-AGF;900;;;;;;;;;;;;;;;;;;;;;;
TC-AGG;806;;;;;;;;;;;;;;;;;;;;;;
TC-AGI;963;;;;;;;;;;;;;;;;;;;;;;
TC-AGL;700;;;;;;;;;;;;;;;;;;;;;;
TC-AGO;2029;;;;;;;;;;;;;;;;;;;;;;
TC-AGP;40728;;;;;;;;;;;;;;;;;;;;;;
TC-AGS;1008;;;;;;;;;;;;;;;;;;;;;;
TC-AGU;2077;;;;;;;;;;;;;;;;;;;;;;
TC-AHL;1282;;;;;;;;;;;;;;;;;;;;;;
TC-AHP;40721;;;;;;;;;;;;;;;;;;;;;;
TC-AIP;40877;;;;;;;;;;;;;;;;;;;;;;
TC-AIS;38174;;;;;;;;;;;;;;;;;;;;;;
